,Variabila,IV
0,Pregnancies,0.21435808752200713
0,Glucose,1.3465859755464966
0,BloodPressure,0.19117852682663122
0,SkinThickness,0.23872422511720173
0,Insulin,0.4846657646749844
0,BMI,0.6299346121820371
0,DiabetesPedigreeFunction,0.17144065794833693
0,Age,0.4756461570540095
